first_name,last_name,gender,major,year,email,dollar_limit,prob_of_activity,prob_of_comment,prob_of_like,ethnicity,age,image_url
robin,burton,female,Aerospace,Grad,robin.burton47@example.com,8,0.2563,0.0456,0.4739,Martian,25,http://api.randomuser.me/portraits/thumb/women/47.jpg
minnie,kelley,female,Architecture,Grad,minnie.kelley48@example.com,11,0.4478,0.503,0.3821,Klingon,25,http://api.randomuser.me/portraits/thumb/women/42.jpg
hazel,alexander,female,Architecture,Senior,hazel.alexander36@example.com,7,0.0049,0.3372,0.0398,Klingon,19,http://api.randomuser.me/portraits/thumb/women/66.jpg
cindy,fernandez,female,ECE,Freshman,cindy.fernandez50@example.com,6,0.0571,0.2381,0.7433,Human,20,http://api.randomuser.me/portraits/thumb/women/41.jpg
joel,olson,male,Media,Senior,joel.olson37@example.com,11,0.1458,0.3321,0.0645,Human,21,http://api.randomuser.me/portraits/thumb/men/32.jpg
vernon,chapman,male,Aerospace,Grad,vernon.chapman20@example.com,6,0.1547,0.513,0.2085,Vulcan,21,http://api.randomuser.me/portraits/thumb/men/32.jpg
andre,medina,male,Mech,Junior,andre.medina16@example.com,11,0.2925,0.1974,0.3404,Vulcan,29,http://api.randomuser.me/portraits/thumb/men/32.jpg
evelyn,banks,female,Architecture,Freshman,evelyn.banks81@example.com,9,0.3203,0.4434,0.7402,Vulcan,21,http://api.randomuser.me/portraits/thumb/women/18.jpg
annette,horton,female,Civil,Sophomore,annette.horton54@example.com,6,0.3746,0.0749,0.0852,Klingon,26,http://api.randomuser.me/portraits/thumb/women/27.jpg
guy,craig,male,Aerospace,Junior,guy.craig27@example.com,11,0.3684,0.0356,0.8435,Vulcan,17,http://api.randomuser.me/portraits/thumb/men/33.jpg
gabriella,ferguson,female,Architecture,PhD,gabriella.ferguson46@example.com,5,0.0716,0.3203,0.197,Vulcan,20,http://api.randomuser.me/portraits/thumb/women/44.jpg
pearl,jones,female,ECE,Junior,pearl.jones28@example.com,10,0.2414,0.3898,0.6602,Martian,26,http://api.randomuser.me/portraits/thumb/women/19.jpg
heather,rodriquez,female,ECE,Senior,heather.rodriquez69@example.com,9,0.4702,0.4303,0.1217,Klingon,19,http://api.randomuser.me/portraits/thumb/women/47.jpg
judith,reed,female,Aerospace,Grad,judith.reed96@example.com,11,0.2789,0.0798,0.3724,Klingon,23,http://api.randomuser.me/portraits/thumb/women/39.jpg
ryan,brown,male,CS,Freshman,ryan.brown36@example.com,5,0.0283,0.3573,0.9647,Human,20,http://api.randomuser.me/portraits/thumb/men/33.jpg
marion,chambers,female,Aerospace,Freshman,marion.chambers26@example.com,11,0.0836,0.0515,0.3559,Romulan,21,http://api.randomuser.me/portraits/thumb/women/28.jpg
isaiah,nguyen,male,Media,Grad,isaiah.nguyen65@example.com,8,0.2446,0.3941,0.7771,Klingon,20,http://api.randomuser.me/portraits/thumb/men/33.jpg
joel,newman,male,CS,Freshman,joel.newman17@example.com,6,0.3943,0.5636,0.8356,Romulan,24,http://api.randomuser.me/portraits/thumb/men/33.jpg
adrian,wallace,male,Civil,Sophomore,adrian.wallace19@example.com,10,0.1842,0.6868,0.4176,Vulcan,24,http://api.randomuser.me/portraits/thumb/men/33.jpg
thomas,murray,male,Architecture,Sophomore,thomas.murray12@example.com,10,0.328,0.0964,0.0033,Martian,17,http://api.randomuser.me/portraits/thumb/men/33.jpg
judy,black,female,Civil,PhD,judy.black42@example.com,7,0.3935,0.6752,0.4441,Human,23,http://api.randomuser.me/portraits/thumb/women/8.jpg
aaron,king,male,ECE,PhD,aaron.king99@example.com,11,0.2157,0.668,0.8441,Romulan,24,http://api.randomuser.me/portraits/thumb/men/34.jpg
randy,sanders,male,Civil,Sophomore,randy.sanders10@example.com,5,0.4227,0.3232,0.0794,Human,28,http://api.randomuser.me/portraits/thumb/men/34.jpg
cody,lucas,male,Civil,Senior,cody.lucas94@example.com,6,0.0125,0.6042,0.1135,Vulcan,28,http://api.randomuser.me/portraits/thumb/men/34.jpg
jessie,ray,male,CS,Sophomore,jessie.ray24@example.com,7,0.0742,0.3385,0.3259,Romulan,22,http://api.randomuser.me/portraits/thumb/men/34.jpg
lester,griffin,male,CS,Senior,lester.griffin77@example.com,5,0.1006,0.2643,0.2727,Klingon,29,http://api.randomuser.me/portraits/thumb/men/34.jpg
alfredo,mitchell,male,ECE,PhD,alfredo.mitchell94@example.com,7,0.2064,0.4842,0.62,Vulcan,28,http://api.randomuser.me/portraits/thumb/men/34.jpg
brandie,wood,female,Media,Freshman,brandie.wood55@example.com,5,0.0067,0.1908,0.3854,Martian,17,http://api.randomuser.me/portraits/thumb/women/7.jpg
danny,boyd,male,Architecture,Freshman,danny.boyd61@example.com,9,0.1718,0.4086,0.1938,Vulcan,29,http://api.randomuser.me/portraits/thumb/men/34.jpg
cory,newman,male,Civil,PhD,cory.newman91@example.com,5,0.4518,0.2893,0.3564,Klingon,24,http://api.randomuser.me/portraits/thumb/men/34.jpg
christina,bowman,female,CS,Grad,christina.bowman22@example.com,5,0.1778,0.5125,0.9535,Human,27,http://api.randomuser.me/portraits/thumb/women/75.jpg
felix,thompson,male,Architecture,Grad,felix.thompson25@example.com,7,0.2006,0.1785,0.0774,Martian,26,http://api.randomuser.me/portraits/thumb/men/34.jpg
brooklyn,alvarez,female,Mech,Freshman,brooklyn.alvarez83@example.com,11,0.0863,0.4879,0.524,Vulcan,23,http://api.randomuser.me/portraits/thumb/women/34.jpg
charles,walters,male,CS,Grad,charles.walters38@example.com,7,0.253,0.0763,0.1653,Klingon,28,http://api.randomuser.me/portraits/thumb/men/34.jpg
rita,simpson,female,Media,Senior,rita.simpson67@example.com,9,0.2374,0.6757,0.9258,Vulcan,20,http://api.randomuser.me/portraits/thumb/women/36.jpg
ian,stephens,male,Mech,PhD,ian.stephens31@example.com,10,0.1962,0.3846,0.8326,Romulan,24,http://api.randomuser.me/portraits/thumb/men/34.jpg
brett,hernandez,male,Media,PhD,brett.hernandez24@example.com,11,0.2351,0.0716,0.6156,Romulan,27,http://api.randomuser.me/portraits/thumb/men/34.jpg
kelly,young,male,CS,Freshman,kelly.young29@example.com,7,0.434,0.1315,0.7221,Human,23,http://api.randomuser.me/portraits/thumb/men/34.jpg
noah,willis,male,ECE,PhD,noah.willis21@example.com,5,0.2628,0.1052,0.9937,Romulan,22,http://api.randomuser.me/portraits/thumb/men/34.jpg
timmothy,miles,male,Architecture,Sophomore,timmothy.miles29@example.com,11,0.1171,0.2846,0.7579,Human,26,http://api.randomuser.me/portraits/thumb/men/35.jpg
marie,hawkins,female,Media,Freshman,marie.hawkins98@example.com,10,0.4207,0.2642,0.2731,Vulcan,19,http://api.randomuser.me/portraits/thumb/women/10.jpg
marian,crawford,female,Architecture,Sophomore,marian.crawford95@example.com,5,0.1995,0.0735,0.6737,Romulan,23,http://api.randomuser.me/portraits/thumb/women/94.jpg
dana,pearson,female,ECE,PhD,dana.pearson83@example.com,6,0.0153,0.6226,0.5709,Vulcan,17,http://api.randomuser.me/portraits/thumb/women/15.jpg
doris,fleming,female,Aerospace,Freshman,doris.fleming37@example.com,6,0.4431,0.5005,0.4709,Martian,17,http://api.randomuser.me/portraits/thumb/women/34.jpg
bradley,burton,male,Mech,Sophomore,bradley.burton10@example.com,10,0.2976,0.1688,0.2986,Human,18,http://api.randomuser.me/portraits/thumb/men/35.jpg
jamie,fletcher,male,Architecture,Freshman,jamie.fletcher75@example.com,11,0.032,0.6921,0.5773,Romulan,26,http://api.randomuser.me/portraits/thumb/men/35.jpg
colleen,curtis,female,Architecture,Freshman,colleen.curtis36@example.com,6,0.3095,0.4472,0.5664,Romulan,17,http://api.randomuser.me/portraits/thumb/women/37.jpg
alfredo,nelson,male,ECE,PhD,alfredo.nelson64@example.com,10,0.1677,0.4775,0.1859,Klingon,18,http://api.randomuser.me/portraits/thumb/men/35.jpg
catherine,shelton,female,CS,Junior,catherine.shelton49@example.com,8,0.4743,0.6511,0.8443,Martian,24,http://api.randomuser.me/portraits/thumb/women/16.jpg
bessie,snyder,female,Civil,Junior,bessie.snyder52@example.com,9,0.2683,0.4487,0.5651,Romulan,27,http://api.randomuser.me/portraits/thumb/women/85.jpg
mabel,fox,female,Architecture,Sophomore,mabel.fox32@example.com,10,0.3483,0.1211,0.2716,Martian,19,http://api.randomuser.me/portraits/thumb/women/23.jpg
leo,holmes,male,Mech,PhD,leo.holmes97@example.com,11,0.1942,0.1901,0.3539,Romulan,20,http://api.randomuser.me/portraits/thumb/men/35.jpg
aubree,fowler,female,Media,Junior,aubree.fowler70@example.com,5,0.1479,0.4561,0.4055,Martian,20,http://api.randomuser.me/portraits/thumb/women/38.jpg
lynn,cox,female,Media,PhD,lynn.cox37@example.com,11,0.0171,0.3862,0.2432,Human,27,http://api.randomuser.me/portraits/thumb/women/14.jpg
hailey,rose,female,Aerospace,Junior,hailey.rose38@example.com,6,0.0101,0.4158,0.7925,Human,19,http://api.randomuser.me/portraits/thumb/women/92.jpg
madison,cox,female,ECE,Freshman,madison.cox29@example.com,8,0.1207,0.2292,0.9866,Human,22,http://api.randomuser.me/portraits/thumb/women/72.jpg
norma,reed,female,Civil,Sophomore,norma.reed52@example.com,6,0.2902,0.5303,0.6429,Vulcan,24,http://api.randomuser.me/portraits/thumb/women/51.jpg
anita,douglas,female,Architecture,Grad,anita.douglas36@example.com,7,0.1754,0.5299,0.207,Klingon,27,http://api.randomuser.me/portraits/thumb/women/11.jpg
lance,chavez,male,Architecture,Junior,lance.chavez46@example.com,8,0.1277,0.2545,0.7316,Klingon,28,http://api.randomuser.me/portraits/thumb/men/35.jpg
jeremy,warren,male,CS,Sophomore,jeremy.warren55@example.com,8,0.1915,0.4137,0.7919,Klingon,28,http://api.randomuser.me/portraits/thumb/men/35.jpg
irma,davis,female,ECE,Sophomore,irma.davis10@example.com,9,0.2382,0.1162,0.0572,Martian,19,http://api.randomuser.me/portraits/thumb/women/91.jpg
jessie,romero,male,Mech,Junior,jessie.romero82@example.com,7,0.47,0.6011,0.3554,Romulan,17,http://api.randomuser.me/portraits/thumb/men/35.jpg
bessie,barnes,female,Aerospace,PhD,bessie.barnes38@example.com,7,0.057,0.3008,0.1239,Vulcan,25,http://api.randomuser.me/portraits/thumb/women/70.jpg
crystal,lynch,female,Civil,Freshman,crystal.lynch47@example.com,5,0.0584,0.2518,0.7278,Romulan,28,http://api.randomuser.me/portraits/thumb/women/41.jpg
jenny,rogers,female,Civil,Junior,jenny.rogers67@example.com,10,0.4493,0.2562,0.9553,Vulcan,22,http://api.randomuser.me/portraits/thumb/women/63.jpg
joanne,bowman,female,Media,PhD,joanne.bowman49@example.com,9,0.4338,0.0227,0.5015,Human,23,http://api.randomuser.me/portraits/thumb/women/19.jpg
pedro,richardson,male,Mech,Sophomore,pedro.richardson57@example.com,7,0.0411,0.0478,0.3963,Martian,19,http://api.randomuser.me/portraits/thumb/men/35.jpg
william,jennings,male,CS,Grad,william.jennings37@example.com,5,0.2976,0.5169,0.606,Vulcan,26,http://api.randomuser.me/portraits/thumb/men/35.jpg
steve,payne,male,Mech,Sophomore,steve.payne13@example.com,11,0.2746,0.2961,0.1639,Human,25,http://api.randomuser.me/portraits/thumb/men/36.jpg
clarence,harrison,male,Aerospace,Junior,clarence.harrison60@example.com,10,0.1046,0.6922,0.191,Human,18,http://api.randomuser.me/portraits/thumb/men/36.jpg
warren,fowler,male,CS,Grad,warren.fowler66@example.com,10,0.0693,0.1016,0.6089,Klingon,18,http://api.randomuser.me/portraits/thumb/men/36.jpg
tim,bates,male,Civil,PhD,tim.bates99@example.com,10,0.0551,0.6129,0.7825,Vulcan,19,http://api.randomuser.me/portraits/thumb/men/36.jpg
jean,castillo,female,Media,Senior,jean.castillo11@example.com,8,0.1085,0.063,0.0153,Romulan,19,http://api.randomuser.me/portraits/thumb/women/96.jpg
robert,mcdonalid,male,Architecture,Freshman,robert.mcdonalid80@example.com,11,0.3995,0.4795,0.0341,Martian,22,http://api.randomuser.me/portraits/thumb/men/36.jpg
thomas,johnson,male,Architecture,Freshman,thomas.johnson32@example.com,8,0.0326,0.6036,0.3526,Klingon,17,http://api.randomuser.me/portraits/thumb/men/36.jpg
calvin,turner,male,Aerospace,Sophomore,calvin.turner30@example.com,5,0.1894,0.5912,0.6031,Romulan,23,http://api.randomuser.me/portraits/thumb/men/36.jpg
harold,powell,male,ECE,PhD,harold.powell42@example.com,5,0.3107,0.3676,0.0276,Vulcan,23,http://api.randomuser.me/portraits/thumb/men/36.jpg
gilbert,cook,male,Mech,Freshman,gilbert.cook61@example.com,8,0.2996,0.6776,0.847,Vulcan,26,http://api.randomuser.me/portraits/thumb/men/36.jpg
anna,mendoza,female,Media,PhD,anna.mendoza93@example.com,7,0.192,0.0608,0.5981,Vulcan,17,http://api.randomuser.me/portraits/thumb/women/80.jpg
mae,jones,female,Mech,Sophomore,mae.jones84@example.com,10,0.068,0.1803,0.6755,Klingon,23,http://api.randomuser.me/portraits/thumb/women/45.jpg
marshall,mitchell,male,Aerospace,Senior,marshall.mitchell87@example.com,7,0.1931,0.6549,0.6347,Martian,24,http://api.randomuser.me/portraits/thumb/men/36.jpg
gloria,berry,female,Aerospace,PhD,gloria.berry46@example.com,6,0.3585,0.6025,0.0223,Martian,20,http://api.randomuser.me/portraits/thumb/women/58.jpg
sandra,palmer,female,Civil,Senior,sandra.palmer78@example.com,5,0.3137,0.6266,0.1562,Human,28,http://api.randomuser.me/portraits/thumb/women/34.jpg
wanda,sutton,female,ECE,PhD,wanda.sutton39@example.com,11,0.3794,0.113,0.3824,Vulcan,27,http://api.randomuser.me/portraits/thumb/women/0.jpg
alexa,reyes,female,Mech,Freshman,alexa.reyes45@example.com,6,0.2421,0.6125,0.8486,Romulan,18,http://api.randomuser.me/portraits/thumb/women/42.jpg
tomothy,mills,male,Architecture,Sophomore,tomothy.mills50@example.com,7,0.0645,0.209,0.3083,Vulcan,19,http://api.randomuser.me/portraits/thumb/men/36.jpg
louella,simmons,female,Civil,Senior,louella.simmons69@example.com,5,0.2385,0.4884,0.9338,Martian,27,http://api.randomuser.me/portraits/thumb/women/46.jpg
loretta,west,female,Mech,PhD,loretta.west66@example.com,7,0.4137,0.561,0.0386,Klingon,22,http://api.randomuser.me/portraits/thumb/women/57.jpg
gina,ortiz,female,CS,Sophomore,gina.ortiz89@example.com,6,0.1909,0.5868,0.7988,Human,23,http://api.randomuser.me/portraits/thumb/women/70.jpg
ryan,walters,male,ECE,PhD,ryan.walters40@example.com,10,0.3777,0.275,0.0561,Vulcan,26,http://api.randomuser.me/portraits/thumb/men/36.jpg
dianne,williams,female,Mech,Grad,dianne.williams13@example.com,10,0.0672,0.0429,0.1416,Klingon,27,http://api.randomuser.me/portraits/thumb/women/52.jpg
erica,vargas,female,CS,Sophomore,erica.vargas36@example.com,6,0.2327,0.4307,0.8881,Romulan,19,http://api.randomuser.me/portraits/thumb/women/86.jpg
sophia,flores,female,Mech,PhD,sophia.flores90@example.com,9,0.3874,0.3562,0.04,Klingon,27,http://api.randomuser.me/portraits/thumb/women/74.jpg
melissa,andrews,female,Media,Senior,melissa.andrews14@example.com,9,0.422,0.3683,0.6206,Human,23,http://api.randomuser.me/portraits/thumb/women/30.jpg
lori,jacobs,female,Mech,Freshman,lori.jacobs39@example.com,10,0.3689,0.6842,0.3887,Human,19,http://api.randomuser.me/portraits/thumb/women/66.jpg
peggy,fletcher,female,Architecture,Freshman,peggy.fletcher14@example.com,7,0.3767,0.4438,0.7494,Klingon,18,http://api.randomuser.me/portraits/thumb/women/72.jpg
erik,frazier,male,ECE,PhD,erik.frazier18@example.com,9,0.0002,0.3426,0.0418,Martian,17,http://api.randomuser.me/portraits/thumb/men/36.jpg
mattie,wallace,female,Architecture,PhD,mattie.wallace58@example.com,6,0.2235,0.4624,0.8641,Klingon,27,http://api.randomuser.me/portraits/thumb/women/67.jpg
naomi,bennett,female,Mech,Junior,naomi.bennett34@example.com,8,0.4299,0.1604,0.073,Martian,19,http://api.randomuser.me/portraits/thumb/women/72.jpg
josephine,ray,female,Aerospace,Freshman,josephine.ray63@example.com,10,0.1115,0.3165,0.916,Romulan,27,http://api.randomuser.me/portraits/thumb/women/93.jpg
edith,hill,female,ECE,Grad,edith.hill67@example.com,8,0.2032,0.1253,0.4138,Martian,25,http://api.randomuser.me/portraits/thumb/women/33.jpg
jamie,wilson,male,Architecture,PhD,jamie.wilson60@example.com,9,0.187,0.0713,0.5466,Martian,18,http://api.randomuser.me/portraits/thumb/men/36.jpg
carole,barnes,female,CS,Sophomore,carole.barnes19@example.com,6,0.0274,0.3601,0.0336,Human,26,http://api.randomuser.me/portraits/thumb/women/14.jpg
stephanie,jackson,female,CS,Grad,stephanie.jackson38@example.com,9,0.4024,0.3416,0.9236,Romulan,19,http://api.randomuser.me/portraits/thumb/women/88.jpg
isabella,mckinney,female,Aerospace,PhD,isabella.mckinney89@example.com,10,0.1149,0.3435,0.6542,Vulcan,24,http://api.randomuser.me/portraits/thumb/women/85.jpg
bella,robertson,female,Media,Junior,bella.robertson36@example.com,6,0.0737,0.1457,0.2656,Klingon,18,http://api.randomuser.me/portraits/thumb/women/76.jpg
claudia,graves,female,Architecture,Grad,claudia.graves98@example.com,8,0.2133,0.1595,0.4539,Klingon,17,http://api.randomuser.me/portraits/thumb/women/73.jpg
fred,torres,male,Media,Junior,fred.torres54@example.com,9,0.037,0.5721,0.539,Klingon,17,http://api.randomuser.me/portraits/thumb/men/36.jpg
georgia,howard,female,Aerospace,Sophomore,georgia.howard82@example.com,11,0.4749,0.2794,0.8846,Human,25,http://api.randomuser.me/portraits/thumb/women/49.jpg
amy,holmes,female,Architecture,Senior,amy.holmes90@example.com,10,0.1803,0.1736,0.0802,Vulcan,28,http://api.randomuser.me/portraits/thumb/women/76.jpg
beatrice,weaver,female,Architecture,Freshman,beatrice.weaver80@example.com,9,0.4179,0.624,0.7563,Romulan,27,http://api.randomuser.me/portraits/thumb/women/55.jpg
lily,barnes,female,Media,Junior,lily.barnes15@example.com,11,0.2947,0.1728,0.6343,Human,25,http://api.randomuser.me/portraits/thumb/women/49.jpg
jeremy,moore,male,Mech,Freshman,jeremy.moore24@example.com,9,0.2577,0.1067,0.0994,Vulcan,17,http://api.randomuser.me/portraits/thumb/men/36.jpg
theresa,morales,female,Civil,Freshman,theresa.morales94@example.com,5,0.4707,0.0983,0.4074,Romulan,28,http://api.randomuser.me/portraits/thumb/women/71.jpg
maxine,stephens,female,CS,Senior,maxine.stephens91@example.com,8,0.0576,0.5713,0.3166,Romulan,19,http://api.randomuser.me/portraits/thumb/women/48.jpg
sebastian,cook,male,Media,Sophomore,sebastian.cook24@example.com,11,0.259,0.5035,0.587,Human,20,http://api.randomuser.me/portraits/thumb/men/37.jpg
erika,barrett,female,Media,Junior,erika.barrett71@example.com,6,0.3331,0.0766,0.4178,Romulan,19,http://api.randomuser.me/portraits/thumb/women/60.jpg
sheila,butler,female,Civil,PhD,sheila.butler48@example.com,11,0.1659,0.2069,0.9739,Human,17,http://api.randomuser.me/portraits/thumb/women/83.jpg
laurie,hernandez,female,ECE,Sophomore,laurie.hernandez15@example.com,10,0.4603,0.5046,0.9712,Vulcan,28,http://api.randomuser.me/portraits/thumb/women/66.jpg
gloria,grant,female,Civil,Senior,gloria.grant38@example.com,6,0.1476,0.6458,0.0786,Klingon,24,http://api.randomuser.me/portraits/thumb/women/87.jpg
dean,bryant,male,Media,Senior,dean.bryant28@example.com,8,0.4957,0.6154,0.1939,Romulan,24,http://api.randomuser.me/portraits/thumb/men/37.jpg
flenn,williams,male,CS,Freshman,flenn.williams49@example.com,5,0.1058,0.0141,0.4722,Klingon,22,http://api.randomuser.me/portraits/thumb/men/37.jpg
jim,reed,male,Aerospace,Freshman,jim.reed88@example.com,11,0.45,0.6677,0.9092,Vulcan,21,http://api.randomuser.me/portraits/thumb/men/37.jpg
alexis,jackson,female,Mech,Junior,alexis.jackson28@example.com,9,0.2457,0.435,0.7446,Martian,26,http://api.randomuser.me/portraits/thumb/women/45.jpg
lydia,mason,female,Architecture,Sophomore,lydia.mason23@example.com,8,0.1341,0.4853,0.0097,Martian,25,http://api.randomuser.me/portraits/thumb/women/91.jpg
lesa,vargas,female,Architecture,Junior,lesa.vargas44@example.com,5,0.4968,0.0466,0.3959,Human,24,http://api.randomuser.me/portraits/thumb/women/74.jpg
veronica,reed,female,ECE,PhD,veronica.reed78@example.com,7,0.3566,0.5416,0.6783,Martian,23,http://api.randomuser.me/portraits/thumb/women/95.jpg
derek,anderson,male,ECE,Grad,derek.anderson32@example.com,7,0.0816,0.2538,0.5141,Human,17,http://api.randomuser.me/portraits/thumb/men/37.jpg
marsha,wade,female,Architecture,Junior,marsha.wade91@example.com,6,0.0027,0.6167,0.1913,Vulcan,22,http://api.randomuser.me/portraits/thumb/women/59.jpg
douglas,campbell,male,Architecture,Junior,douglas.campbell62@example.com,7,0.3121,0.1979,0.2079,Martian,18,http://api.randomuser.me/portraits/thumb/men/37.jpg
anthony,rodriguez,male,Architecture,Freshman,anthony.rodriguez47@example.com,10,0.155,0.0982,0.1403,Romulan,18,http://api.randomuser.me/portraits/thumb/men/37.jpg
tara,owens,female,Civil,Freshman,tara.owens36@example.com,10,0.0309,0.1201,0.9215,Romulan,18,http://api.randomuser.me/portraits/thumb/women/10.jpg
holly,watkins,female,ECE,Junior,holly.watkins35@example.com,5,0.2505,0.3343,0.5871,Romulan,21,http://api.randomuser.me/portraits/thumb/women/36.jpg
colleen,pearson,female,Media,Sophomore,colleen.pearson37@example.com,8,0.3956,0.294,0.722,Romulan,28,http://api.randomuser.me/portraits/thumb/women/77.jpg
edwin,fox,male,Architecture,Freshman,edwin.fox18@example.com,5,0.0246,0.3883,0.0434,Vulcan,27,http://api.randomuser.me/portraits/thumb/men/37.jpg
ava,robertson,female,CS,Senior,ava.robertson93@example.com,6,0.0704,0.5552,0.3174,Vulcan,18,http://api.randomuser.me/portraits/thumb/women/11.jpg
edna,ward,female,Aerospace,Freshman,edna.ward58@example.com,6,0.4714,0.39,0.3527,Romulan,25,http://api.randomuser.me/portraits/thumb/women/54.jpg
beth,price,female,Civil,PhD,beth.price62@example.com,10,0.0952,0.156,0.6294,Martian,29,http://api.randomuser.me/portraits/thumb/women/53.jpg
elizabeth,mccoy,female,Mech,PhD,elizabeth.mccoy25@example.com,7,0.0384,0.5471,0.4153,Romulan,23,http://api.randomuser.me/portraits/thumb/women/58.jpg
arianna,holmes,female,Media,Freshman,arianna.holmes98@example.com,11,0.2285,0.1826,0.0335,Klingon,29,http://api.randomuser.me/portraits/thumb/women/61.jpg
wade,bennett,male,Architecture,Junior,wade.bennett60@example.com,8,0.1243,0.0894,0.5782,Martian,27,http://api.randomuser.me/portraits/thumb/men/37.jpg
grace,craig,female,Mech,Grad,grace.craig77@example.com,9,0.1211,0.1602,0.845,Human,23,http://api.randomuser.me/portraits/thumb/women/3.jpg
megan,sutton,female,Architecture,Sophomore,megan.sutton96@example.com,7,0.4694,0.4713,0.2237,Martian,25,http://api.randomuser.me/portraits/thumb/women/55.jpg
kevin,fleming,male,ECE,Freshman,kevin.fleming34@example.com,6,0.0825,0.1009,0.2609,Human,17,http://api.randomuser.me/portraits/thumb/men/37.jpg
benjamin,clark,male,CS,PhD,benjamin.clark28@example.com,6,0.0063,0.486,0.2705,Klingon,24,http://api.randomuser.me/portraits/thumb/men/37.jpg
marilyn,carroll,female,Aerospace,Grad,marilyn.carroll56@example.com,8,0.3451,0.3381,0.114,Romulan,28,http://api.randomuser.me/portraits/thumb/women/41.jpg
clinton,cooper,male,CS,Sophomore,clinton.cooper46@example.com,8,0.2771,0.2623,0.2191,Martian,18,http://api.randomuser.me/portraits/thumb/men/37.jpg
kitty,oliver,female,Civil,Sophomore,kitty.oliver30@example.com,10,0.2084,0.5088,0.1863,Human,20,http://api.randomuser.me/portraits/thumb/women/45.jpg
wade,brewer,male,Civil,PhD,wade.brewer86@example.com,8,0.3617,0.0002,0.0551,Romulan,24,http://api.randomuser.me/portraits/thumb/men/37.jpg
brent,lane,male,Mech,Junior,brent.lane77@example.com,11,0.1343,0.47,0.0649,Vulcan,18,http://api.randomuser.me/portraits/thumb/men/37.jpg
pearl,mason,female,ECE,PhD,pearl.mason68@example.com,8,0.2234,0.0821,0.1999,Human,27,http://api.randomuser.me/portraits/thumb/women/75.jpg
gabriel,cox,male,Aerospace,PhD,gabriel.cox34@example.com,6,0.036,0.6643,0.8098,Klingon,29,http://api.randomuser.me/portraits/thumb/men/38.jpg
isabella,jensen,female,Civil,Freshman,isabella.jensen58@example.com,11,0.0462,0.4453,0.047,Human,20,http://api.randomuser.me/portraits/thumb/women/72.jpg
bobbie,murray,female,Architecture,Grad,bobbie.murray39@example.com,8,0.193,0.2829,0.1749,Martian,29,http://api.randomuser.me/portraits/thumb/women/70.jpg
clara,hansen,female,Architecture,Freshman,clara.hansen35@example.com,5,0.2979,0.4573,0.2747,Martian,25,http://api.randomuser.me/portraits/thumb/women/82.jpg
jean,spencer,female,Mech,Junior,jean.spencer74@example.com,8,0.4133,0.6231,0.8698,Martian,21,http://api.randomuser.me/portraits/thumb/women/29.jpg
sergio,harris,male,Media,Grad,sergio.harris34@example.com,7,0.4403,0.5801,0.4545,Human,26,http://api.randomuser.me/portraits/thumb/men/38.jpg
wayne,price,male,Mech,Grad,wayne.price40@example.com,8,0.0445,0.6259,0.8416,Martian,22,http://api.randomuser.me/portraits/thumb/men/38.jpg
jeff,douglas,male,Civil,Grad,jeff.douglas22@example.com,5,0.0316,0.1308,0.2543,Human,17,http://api.randomuser.me/portraits/thumb/men/38.jpg
christine,holt,female,ECE,Senior,christine.holt10@example.com,10,0.2266,0.3381,0.3137,Klingon,22,http://api.randomuser.me/portraits/thumb/women/51.jpg
george,neal,male,ECE,PhD,george.neal92@example.com,8,0.0076,0.2622,0.3255,Vulcan,27,http://api.randomuser.me/portraits/thumb/men/38.jpg
pearl,boyd,female,ECE,Freshman,pearl.boyd76@example.com,5,0.4009,0.3983,0.5551,Klingon,18,http://api.randomuser.me/portraits/thumb/women/44.jpg
leroy,mendoza,male,ECE,Senior,leroy.mendoza92@example.com,7,0.315,0.3787,0.9366,Klingon,22,http://api.randomuser.me/portraits/thumb/men/38.jpg
sergio,wood,male,CS,Grad,sergio.wood81@example.com,6,0.2151,0.302,0.2718,Klingon,20,http://api.randomuser.me/portraits/thumb/men/38.jpg
lauren,butler,female,Mech,Sophomore,lauren.butler69@example.com,5,0.2877,0.2805,0.5971,Klingon,19,http://api.randomuser.me/portraits/thumb/women/62.jpg
jenny,collins,female,Civil,Sophomore,jenny.collins63@example.com,8,0.1606,0.332,0.7828,Human,23,http://api.randomuser.me/portraits/thumb/women/83.jpg
felix,garrett,male,Architecture,Grad,felix.garrett34@example.com,10,0.2571,0.3477,0.2368,Romulan,20,http://api.randomuser.me/portraits/thumb/men/38.jpg
rhonda,lucas,female,Architecture,Senior,rhonda.lucas17@example.com,7,0.4222,0.2613,0.6945,Human,21,http://api.randomuser.me/portraits/thumb/women/34.jpg
eva,watkins,female,CS,Grad,eva.watkins36@example.com,9,0.2118,0.4688,0.4394,Vulcan,29,http://api.randomuser.me/portraits/thumb/women/29.jpg
arron,tucker,male,Civil,Junior,arron.tucker24@example.com,6,0.342,0.5211,0.6972,Klingon,25,http://api.randomuser.me/portraits/thumb/men/38.jpg
louis,owens,male,Media,Junior,louis.owens68@example.com,5,0.2891,0.6551,0.3962,Vulcan,26,http://api.randomuser.me/portraits/thumb/men/38.jpg
chris,nichols,male,Mech,PhD,chris.nichols27@example.com,11,0.3888,0.2976,0.1368,Vulcan,25,http://api.randomuser.me/portraits/thumb/men/38.jpg
